Nuclei_Location_Center_X,Nuclei_Location_Center_Y
33,36
153,43
865,45
778,64
86,61
92,80
293,122
56,119
1027,121
135,126
251,123
48,145
515,168
537,170
1058,185
983,204
69,204
100,215
197,326
157,353
33,385
233,401
872,469
856,493
908,508
872,534
845,597
858,599
850,621
1046,622
243,639
859,682
373,720
1012,731
150,734
1003,754
1009,765
355,766
1024,773
860,810
360,827
219,838
874,859
995,882
293,887
374,896
846,925
826,934
831,956
96,964
115,965
309,974
93,985
930,998
104,1003
835,1002
563,1011
157,1027
965,1035
935,1039
136,1039
177,1043
542,1049
151,1058
