Nuclei_Location_Center_X,Nuclei_Location_Center_Y
178,37
204,44
252,54
282,73
210,78
334,90
213,94
178,101
186,115
178,126
157,135
651,135
305,136
635,175
685,200
606,220
635,237
683,239
711,275
647,289
582,313
694,318
642,354
692,360
570,384
371,406
609,409
680,415
349,423
342,473
281,481
261,484
263,509
463,510
452,545
235,550
409,568
432,580
616,578
386,589
508,591
487,632
628,646
424,656
424,673
550,671
794,686
766,694
66,694
499,694
605,701
448,700
668,716
85,725
402,731
726,726
517,735
779,736
842,741
439,746
822,756
587,752
699,786
814,790
96,792
891,795
832,797
149,809
401,815
765,817
534,820
110,833
145,838
614,848
744,856
146,865
120,931
241,960
964,965
137,971
226,972
890,998
804,1011
902,1015
559,1028
718,1053
404,1057
