Nuclei_Location_Center_X,Nuclei_Location_Center_Y
105,28
64,30
553,43
339,63
770,75
944,94
408,107
70,117
114,135
324,147
605,154
588,163
53,173
742,179
259,205
610,206
876,210
885,227
696,229
499,244
373,258
570,281
645,281
1063,286
636,303
896,307
846,321
940,321
509,329
742,345
975,361
340,377
656,396
490,396
571,397
413,398
755,403
927,408
948,412
970,419
1052,455
607,460
856,462
533,504
852,507
724,507
833,517
1015,518
996,527
676,535
1052,555
869,566
602,598
806,613
590,619
579,647
371,666
139,678
216,694
861,705
503,718
522,724
336,741
855,748
1035,752
871,759
270,792
440,827
977,842
57,852
99,854
372,884
557,892
419,907
303,913
733,936
838,951
530,965
530,983
61,984
779,1000
577,1000
463,1020
767,1018
204,1052
552,1059
